Title;Name;Reps;Duration;Description
;Walking Glute Stretch ;20;;Stand on left leg, cross right ankle over left knee to make a figure 4 position. Sink down into a quarter squat to feell a stretch in your right glute. As you return to standing position, hug your right shin to your chest. Lower right leg to the ground, take a step forward and repeat exercise with left leg. 
;Non-Alternating Split Jumps [R];10;;In a staggered stance, with one foot ~3 ft in front of the other, sink into a split squat, then pushing off with both feet, jump into the air. Land jump in the same lunge position. Repeat. 
;Non-Alternating Split Jumps [L];10;;In a staggered stance, with one foot ~3 ft in front of the other, sink into a split squat, then pushing off with both feet, jump into the air. Land jump in the same lunge position. Repeat. 
;Single Leg RDL with High Knee Finish [R];10;;Standing on left leg, press hips backward, extending right leg straight behind you, lowering torso parallel to ground. As you return to single leg standing stance, bring right leg forward into a high knee finish position. Repeat.
;Single Leg RDL with High Knee Finish [L];10;;Standing on left leg, press hips backward, extending right leg straight behind you, lowering torso parallel to ground. As you return to single leg standing stance, bring right leg forward into a high knee finish position. Repeat.
;Lateral Lunge;20;;Standing tall, take a large step with your right foot out to the side and sink into a lunge position. Pressing off ground with right foot, return to standing position. Repeat exercise with left leg. 
;Walking Lunges with High Step;20;;Take large step forward with right leg, driving free knee up before stepping into the lunge position. Pressing off back foot, assume high knee position with left leg before stepping forward into lunge.
;Lateral Lunge Sway;20;;Step to side with right leg into lateral lunge with left leg straight and toe facing forward. Instead of returning to standing position, stay in a low position and shift weight from right leg, to left leg. Left leg is now bent and bearing most of the weight and right leg is straight. Continue to shift side to side from right lateral lunge to left. 
20m;Forward Bound;0;;Start in a standing athletic position. Shift your bodyweight to one side, then jump forward and land on the opposite foot. Land softly and by bending at your hips, knee, and ankle slightly by performing a small squat on the landing leg. Stay strong in the hip, knee, and ankle as you land. Then, push off with that leg and land back on your other leg, where you started. Repeat this going forwrad. 
20m;Forward Pogo Hops;0;;Double footed small hops forward, landing mostly flat footed, with some flexion at the knees. During the up part of the hop, try to pull your toes torward your shins. 
20m;Backward Pogo Hops;0;;Double footed small hops backward, landing mostly flat footed, with some flexion at the knees. During the up part of the hop, try to pull your toes torward your shins. 
20m (each direction);Sideways Hops;0;;Double footed small hops to the side, landing mostly flat footed, with some flexion at the knees. During the up part of the hop, try to pull your toes toward your shins. 
40m;Power Skip for Height;0;;Take a three-step lead in to generate a little bit of speed, then skip as high as you can, raising your knee as high and as quick as possible, while forcefully extending your drive leg. Land and alternate legs.
40m;Power Skip for Distance;0;;Goal is not to jump as high as possible, but as far as possible. Skip raising your knee as high and as quickly as you can. Remember to fully extend your drive leg and alternate legs. The key is to cover as much ground as possible with each skip.
;Complete;;;
;;;;
;Power;;;
;3-Way Lunge [R];;45;Step forward into lunge, then backward into lunge, then into a lateral lunge. 
;3-Way Lunge [L];;45;Step forward into lunge, then backward into lunge, then into a lateral lunge. 
;Squats;;45;Standing with feet shoulder width apart, toes pointed slightly out. Reach arms straight out in line with chest. Perform squats slowly, keeping feet flat on ground, with knees tracking over but not beyond toes 
;Reach Pushup Hold;;30;Assume pushup position, then walk hands out a little further, so instead of hands being in line with shoulders and perpendicular, your hands are in front of your shoulders. Hold this position. 
;Single Leg Squat Jumps [R];;30;In single leg stance, sink into a half squat extending free leg behind you for balance. Swinging free leg forward, leading with knee, jump off stance leg, driving knee of free leg up. Land on stance leg, in same position as you started. Pause for balance and control, repeat.
;Single Leg Squat Jumps [R];;30;In single leg stance, sink into a half squat extending free leg behind you for balance. Swinging free leg forward, leading with knee, jump off stance leg, driving knee of free leg up. Land on stance leg, in same position as you started. Pause for balance and control, repeat.
;Straight Arm Twist;;60;"Standing tall with feet shoulder width apart, abs braced, arms extended out to side in ""airplane"" position, with palms facing forward. Using torso to initiate motion,twist side to side, keeping arms straight, hips continuing to face forward."
;Rocket Jump with Pause at Bottom;;60;Jump as high as you can, landing softly and sinking into a squat position. Hold squat at the bottom for 3 seconds. Repeat. 
20m;Zombie Walk;20;;Standing tall, with arms straight out in front of you at shoulder height, raise right leg up toward hands. Use hip flexor to bring leg up, do not swing leg up. Lower leg, resume standing position, then bring left leg up toward hands. 
;Lunge Hold [R];;45;Stand tall with your feet hip-width apart and your hands at your sides. Keeping your chest up, shoulders back, back flat, and core engaged, take a large step forward with your right foot. Lower your body until your front thigh is parallel with the ground and your left knee is bent 90 degrees.
;Lunge Hold [L];;45;Stand tall with your feet hip-width apart and your hands at your sides. Keeping your chest up, shoulders back, back flat, and core engaged, take a large step forward with your right foot. Lower your body until your front thigh is parallel with the ground and your left knee is bent 90 degrees.
;Single Leg RDL [R];;45;Standing on right leg, core braced, chest up, with slight bend in knee. Hinge at hips, pressing hips backward and lower body to parallel to the ground. Extend free leg straight behind. Pull back to standing starting position with hamstring. 
;Single Leg RDL [L];;45;Standing on right leg, core braced, chest up, with slight bend in knee. Hinge at hips, pressing hips backward and lower body to parallel to the ground. Extend free leg straight behind. Pull back to standing starting position with hamstring. 
;In-place Inch Worm Push-ups;;60;Stand tall with feet shoulder-width apart, reach arms straight up overhead. Keeping feet planted, reach hands down to ground in front of feet and then walk hands out to assume push-up position. Perform a pushup. Walk hands back toward feet, stand up, and reach arms staight overhead. Repeat.
;Repeat;;;
;3-Way Lunge [R];;45;Step forward into lunge, then backward into lunge, then into a lateral lunge. 
;3-Way Lunge [L];;45;Step forward into lunge, then backward into lunge, then into a lateral lunge. 
;Squats;;45;Standing with feet shoulder width apart, toes pointed slightly out. Reach arms straight out in line with chest. Perform squats slowly, keeping feet flat on ground, with knees tracking over but not beyond toes 
;Reach Pushup Hold;;30;Assume pushup position, then walk hands out a little further, so instead of hands being in line with shoulders and perpendicular, your hands are in front of your shoulders. Hold this position. 
;Single Leg Squat Jumps [R];;30;In single leg stance, sink into a half squat extending free leg behind you for balance. Swinging free leg forward, leading with knee, jump off stance leg, driving knee of free leg up. Land on stance leg, in same position as you started. Pause for balance and control, repeat.
;Single Leg Squat Jumps [R];;30;In single leg stance, sink into a half squat extending free leg behind you for balance. Swinging free leg forward, leading with knee, jump off stance leg, driving knee of free leg up. Land on stance leg, in same position as you started. Pause for balance and control, repeat.
;Straight Arm Twist;;60;"Standing tall with feet shoulder width apart, abs braced, arms extended out to side in ""airplane"" position, with palms facing forward. Using torso to initiate motion,twist side to side, keeping arms straight, hips continuing to face forward."
;Rocket Jump with Pause at Bottom;;60;Jump as high as you can, landing softly and sinking into a squat position. Hold squat at the bottom for 3 seconds. Repeat. 
20m;Zombie Walk;20;;Standing tall, with arms straight out in front of you at shoulder height, raise right leg up toward hands. Use hip flexor to bring leg up, do not swing leg up. Lower leg, resume standing position, then bring left leg up toward hands. 
;Lunge Hold [R];;45;Stand tall with your feet hip-width apart and your hands at your sides. Keeping your chest up, shoulders back, back flat, and core engaged, take a large step forward with your right foot. Lower your body until your front thigh is parallel with the ground and your left knee is bent 90 degrees.
;Lunge Hold [L];;45;Stand tall with your feet hip-width apart and your hands at your sides. Keeping your chest up, shoulders back, back flat, and core engaged, take a large step forward with your right foot. Lower your body until your front thigh is parallel with the ground and your left knee is bent 90 degrees.
;Single Leg RDL [R];;45;Standing on right leg, core braced, chest up, with slight bend in knee. Hinge at hips, pressing hips backward and lower body to parallel to the ground. Extend free leg straight behind. Pull back to standing starting position with hamstring. 
;Single Leg RDL [L];;45;Standing on right leg, core braced, chest up, with slight bend in knee. Hinge at hips, pressing hips backward and lower body to parallel to the ground. Extend free leg straight behind. Pull back to standing starting position with hamstring. 
;In-place Inch Worm Push-ups;;60;Stand tall with feet shoulder-width apart, reach arms straight up overhead. Keeping feet planted, reach hands down to ground in front of feet and then walk hands out to assume push-up position. Perform a pushup. Walk hands back toward feet, stand up, and reach arms staight overhead. Repeat.
;Complete;;;
